year,employment_size,broadband_usage
2012,Below 10 employees,77
2012,Between 10 to 199 employees,90
2012,200 or more employees,100
2013,Below 10 employees,82
2013,Between 10 to 199 employees,95
2013,200 or more employees,100
2014,Below 10 employees,81
2014,Between 10 to 199 employees,96
2014,200 or more employees,100
2015,Below 10 employees,84
2015,Between 10 to 199 employees,95
2015,200 or more employees,100
2016,Below 10 employees,85
2016,Between 10 to 199 employees,95
2016,200 or more employees,98
