month,level_1,level_2,total_loans
2004-03,Business,"Agriculture, Mining and Quarrying",2484.6
2004-03,Business,Manufacturing,27557.8
2004-03,Business,Building and Construction,29724.9
2004-03,Business,General Commerce,30577.5
2004-03,Business,"Transport, Storage and Communication",25227.6
2004-03,Business,Business Services,4740.1
2004-03,Business,Financial Institutions,50708.9
2004-03,Business,Professional and Private Individuals - Business Purposes,4112.3
2004-03,Business,Others,20586.3
2004-03,Consumer,Housing and Bridging Loans,55419.4
2004-03,Consumer,Professional and Private Individuals - Car Loans,11800.5
2004-03,Consumer,Professional and Private Individuals - Credit Cards,3253.3
2004-03,Consumer,Professional and Private Individuals - Share Financing,419.5
2004-03,Consumer,Professional and Private Individuals - Others,27203.4
2004-04,Business,"Agriculture, Mining and Quarrying",2191
2004-04,Business,Manufacturing,27786.2
2004-04,Business,Building and Construction,29079.7
2004-04,Business,General Commerce,31640.4
2004-04,Business,"Transport, Storage and Communication",24731.7
2004-04,Business,Business Services,5074
2004-04,Business,Financial Institutions,49990.9
2004-04,Business,Professional and Private Individuals - Business Purposes,4625.7
2004-04,Business,Others,21654.9
2004-04,Consumer,Housing and Bridging Loans,56107
2004-04,Consumer,Professional and Private Individuals - Car Loans,11911.9
2004-04,Consumer,Professional and Private Individuals - Credit Cards,3253.3
2004-04,Consumer,Professional and Private Individuals - Share Financing,421.7
2004-04,Consumer,Professional and Private Individuals - Others,26940.4
2004-05,Business,"Agriculture, Mining and Quarrying",2146.6
2004-05,Business,Manufacturing,28589.5
2004-05,Business,Building and Construction,29440.6
2004-05,Business,General Commerce,32215.7
2004-05,Business,"Transport, Storage and Communication",24937.1
2004-05,Business,Business Services,4980.2
2004-05,Business,Financial Institutions,49487.5
2004-05,Business,Professional and Private Individuals - Business Purposes,4624.4
2004-05,Business,Others,22600.5
2004-05,Consumer,Housing and Bridging Loans,56604
2004-05,Consumer,Professional and Private Individuals - Car Loans,11997.1
2004-05,Consumer,Professional and Private Individuals - Credit Cards,3239.2
2004-05,Consumer,Professional and Private Individuals - Share Financing,407.5
2004-05,Consumer,Professional and Private Individuals - Others,27474.6
2004-06,Business,"Agriculture, Mining and Quarrying",2273.2
2004-06,Business,Manufacturing,28809.8
2004-06,Business,Building and Construction,29524.1
2004-06,Business,General Commerce,32380.9
2004-06,Business,"Transport, Storage and Communication",25792.2
2004-06,Business,Business Services,4854.8
2004-06,Business,Financial Institutions,50281.9
2004-06,Business,Professional and Private Individuals - Business Purposes,4534.5
2004-06,Business,Others,21522.8
2004-06,Consumer,Housing and Bridging Loans,57127.3
2004-06,Consumer,Professional and Private Individuals - Car Loans,12104.8
2004-06,Consumer,Professional and Private Individuals - Credit Cards,3347.1
2004-06,Consumer,Professional and Private Individuals - Share Financing,413.8
2004-06,Consumer,Professional and Private Individuals - Others,27978.5
2004-07,Business,"Agriculture, Mining and Quarrying",2446.1
2004-07,Business,Manufacturing,29133.3
2004-07,Business,Building and Construction,28979.4
2004-07,Business,General Commerce,32178.2
2004-07,Business,"Transport, Storage and Communication",25440.1
2004-07,Business,Business Services,5048
2004-07,Business,Financial Institutions,51186.5
2004-07,Business,Professional and Private Individuals - Business Purposes,5169.9
2004-07,Business,Others,22543.5
2004-07,Consumer,Housing and Bridging Loans,57617.6
2004-07,Consumer,Professional and Private Individuals - Car Loans,11990.7
2004-07,Consumer,Professional and Private Individuals - Credit Cards,3274
2004-07,Consumer,Professional and Private Individuals - Share Financing,422.2
2004-07,Consumer,Professional and Private Individuals - Others,28054.1
2004-08,Business,"Agriculture, Mining and Quarrying",2650.4
2004-08,Business,Manufacturing,29098.4
2004-08,Business,Building and Construction,28761.8
2004-08,Business,General Commerce,32303.2
2004-08,Business,"Transport, Storage and Communication",25492.2
2004-08,Business,Business Services,5173.9
2004-08,Business,Financial Institutions,52988.9
2004-08,Business,Professional and Private Individuals - Business Purposes,4992.3
2004-08,Business,Others,23125
2004-08,Consumer,Housing and Bridging Loans,58848.9
2004-08,Consumer,Professional and Private Individuals - Car Loans,12073.9
2004-08,Consumer,Professional and Private Individuals - Credit Cards,3306.2
2004-08,Consumer,Professional and Private Individuals - Share Financing,399.2
2004-08,Consumer,Professional and Private Individuals - Others,27943.6
2004-09,Business,"Agriculture, Mining and Quarrying",2593.7
2004-09,Business,Manufacturing,28866.4
2004-09,Business,Building and Construction,28635.4
2004-09,Business,General Commerce,31951.5
2004-09,Business,"Transport, Storage and Communication",24868.8
2004-09,Business,Business Services,5016.5
2004-09,Business,Financial Institutions,54251
2004-09,Business,Professional and Private Individuals - Business Purposes,4280.8
2004-09,Business,Others,22025.3
2004-09,Consumer,Housing and Bridging Loans,59344.2
2004-09,Consumer,Professional and Private Individuals - Car Loans,12154.5
2004-09,Consumer,Professional and Private Individuals - Credit Cards,3376.9
2004-09,Consumer,Professional and Private Individuals - Share Financing,399.5
2004-09,Consumer,Professional and Private Individuals - Others,28123.1
2004-10,Business,"Agriculture, Mining and Quarrying",2609.2
2004-10,Business,Manufacturing,29219.4
2004-10,Business,Building and Construction,28728
2004-10,Business,General Commerce,32188.1
2004-10,Business,"Transport, Storage and Communication",24602.9
2004-10,Business,Business Services,5282.5
2004-10,Business,Financial Institutions,56865.4
2004-10,Business,Professional and Private Individuals - Business Purposes,4189.8
2004-10,Business,Others,21546.5
2004-10,Consumer,Housing and Bridging Loans,59769.7
2004-10,Consumer,Professional and Private Individuals - Car Loans,12274.5
2004-10,Consumer,Professional and Private Individuals - Credit Cards,3372.4
2004-10,Consumer,Professional and Private Individuals - Share Financing,414.8
2004-10,Consumer,Professional and Private Individuals - Others,27745.7
2004-11,Business,"Agriculture, Mining and Quarrying",2583.5
2004-11,Business,Manufacturing,29003.2
2004-11,Business,Building and Construction,28816.5
2004-11,Business,General Commerce,31585.6
2004-11,Business,"Transport, Storage and Communication",24768.9
2004-11,Business,Business Services,4990.9
2004-11,Business,Financial Institutions,59610.4
2004-11,Business,Professional and Private Individuals - Business Purposes,4099.8
2004-11,Business,Others,22359.1
2004-11,Consumer,Housing and Bridging Loans,59903.7
2004-11,Consumer,Professional and Private Individuals - Car Loans,12406.5
2004-11,Consumer,Professional and Private Individuals - Credit Cards,3525.8
2004-11,Consumer,Professional and Private Individuals - Share Financing,411.4
2004-11,Consumer,Professional and Private Individuals - Others,27542.2
2004-12,Business,"Agriculture, Mining and Quarrying",2797.6
2004-12,Business,Manufacturing,28684.8
2004-12,Business,Building and Construction,29113.3
2004-12,Business,General Commerce,31346.5
2004-12,Business,"Transport, Storage and Communication",23561.5
2004-12,Business,Business Services,5153.3
2004-12,Business,Financial Institutions,62451.6
2004-12,Business,Professional and Private Individuals - Business Purposes,4163.6
2004-12,Business,Others,21316.9
2004-12,Consumer,Housing and Bridging Loans,60296
2004-12,Consumer,Professional and Private Individuals - Car Loans,12552.2
2004-12,Consumer,Professional and Private Individuals - Credit Cards,3541.1
2004-12,Consumer,Professional and Private Individuals - Share Financing,391.6
2004-12,Consumer,Professional and Private Individuals - Others,27451.9
2005-01,Business,"Agriculture, Mining and Quarrying",2712
2005-01,Business,Manufacturing,28726.8
2005-01,Business,Building and Construction,29028.4
2005-01,Business,General Commerce,31267.2
2005-01,Business,"Transport, Storage and Communication",23251.3
2005-01,Business,Business Services,5030.6
2005-01,Business,Financial Institutions,63308.6
2005-01,Business,Professional and Private Individuals - Business Purposes,4102.3
2005-01,Business,Others,20710.2
2005-01,Consumer,Housing and Bridging Loans,60829.4
2005-01,Consumer,Professional and Private Individuals - Car Loans,12599.2
2005-01,Consumer,Professional and Private Individuals - Credit Cards,3474.9
2005-01,Consumer,Professional and Private Individuals - Share Financing,457.5
2005-01,Consumer,Professional and Private Individuals - Others,27988.9
2005-02,Business,"Agriculture, Mining and Quarrying",2639.4
2005-02,Business,Manufacturing,28956.7
2005-02,Business,Building and Construction,28958
2005-02,Business,General Commerce,30881.8
2005-02,Business,"Transport, Storage and Communication",22979.2
2005-02,Business,Business Services,5052.5
2005-02,Business,Financial Institutions,63632.2
2005-02,Business,Professional and Private Individuals - Business Purposes,4736.7
2005-02,Business,Others,19669.5
2005-02,Consumer,Housing and Bridging Loans,61209
2005-02,Consumer,Professional and Private Individuals - Car Loans,12635.4
2005-02,Consumer,Professional and Private Individuals - Credit Cards,3378.5
2005-02,Consumer,Professional and Private Individuals - Share Financing,498.9
2005-02,Consumer,Professional and Private Individuals - Others,27124.9
2005-03,Business,"Agriculture, Mining and Quarrying",2646
2005-03,Business,Manufacturing,29343.3
2005-03,Business,Building and Construction,28481.1
2005-03,Business,General Commerce,31739.8
2005-03,Business,"Transport, Storage and Communication",23381
2005-03,Business,Business Services,4806.1
2005-03,Business,Financial Institutions,60996.8
2005-03,Business,Professional and Private Individuals - Business Purposes,4802.1
2005-03,Business,Others,19623.4
2005-03,Consumer,Housing and Bridging Loans,61640.3
2005-03,Consumer,Professional and Private Individuals - Car Loans,12509.8
2005-03,Consumer,Professional and Private Individuals - Credit Cards,3313.4
2005-03,Consumer,Professional and Private Individuals - Share Financing,502.2
2005-03,Consumer,Professional and Private Individuals - Others,27862.4
2005-04,Business,"Agriculture, Mining and Quarrying",2804.7
2005-04,Business,Manufacturing,29849.7
2005-04,Business,Building and Construction,29452.5
2005-04,Business,General Commerce,32618.7
2005-04,Business,"Transport, Storage and Communication",23407.3
2005-04,Business,Business Services,4863.4
2005-04,Business,Financial Institutions,62291.4
2005-04,Business,Professional and Private Individuals - Business Purposes,4775.4
2005-04,Business,Others,19522.4
2005-04,Consumer,Housing and Bridging Loans,61758.2
2005-04,Consumer,Professional and Private Individuals - Car Loans,12598.1
2005-04,Consumer,Professional and Private Individuals - Credit Cards,3322.9
2005-04,Consumer,Professional and Private Individuals - Share Financing,508.9
2005-04,Consumer,Professional and Private Individuals - Others,28468.9
2005-05,Business,"Agriculture, Mining and Quarrying",2580.1
2005-05,Business,Manufacturing,29163.7
2005-05,Business,Building and Construction,29338.3
2005-05,Business,General Commerce,33930.8
2005-05,Business,"Transport, Storage and Communication",23769.5
2005-05,Business,Business Services,5030.9
2005-05,Business,Financial Institutions,62749.8
2005-05,Business,Professional and Private Individuals - Business Purposes,4837
2005-05,Business,Others,20295.9
2005-05,Consumer,Housing and Bridging Loans,62066.5
2005-05,Consumer,Professional and Private Individuals - Car Loans,12565.3
2005-05,Consumer,Professional and Private Individuals - Credit Cards,3386.2
2005-05,Consumer,Professional and Private Individuals - Share Financing,491.8
2005-05,Consumer,Professional and Private Individuals - Others,28875.2
2005-06,Business,"Agriculture, Mining and Quarrying",2401.3
2005-06,Business,Manufacturing,31014.3
2005-06,Business,Building and Construction,29514.6
2005-06,Business,General Commerce,34323.5
2005-06,Business,"Transport, Storage and Communication",25425.3
2005-06,Business,Business Services,5192.1
2005-06,Business,Financial Institutions,62880.8
2005-06,Business,Professional and Private Individuals - Business Purposes,4807.3
2005-06,Business,Others,20035.5
2005-06,Consumer,Housing and Bridging Loans,62270.5
2005-06,Consumer,Professional and Private Individuals - Car Loans,12602.4
2005-06,Consumer,Professional and Private Individuals - Credit Cards,3473.1
2005-06,Consumer,Professional and Private Individuals - Share Financing,479.1
2005-06,Consumer,Professional and Private Individuals - Others,28871.3
2005-07,Business,"Agriculture, Mining and Quarrying",2393.1
2005-07,Business,Manufacturing,30665.6
2005-07,Business,Building and Construction,29603.5
2005-07,Business,General Commerce,34821.4
2005-07,Business,"Transport, Storage and Communication",25244
2005-07,Business,Business Services,4817.9
2005-07,Business,Financial Institutions,63652.6
2005-07,Business,Professional and Private Individuals - Business Purposes,4740.2
2005-07,Business,Others,19485.2
2005-07,Consumer,Housing and Bridging Loans,62408.7
2005-07,Consumer,Professional and Private Individuals - Car Loans,12633
2005-07,Consumer,Professional and Private Individuals - Credit Cards,3390.8
2005-07,Consumer,Professional and Private Individuals - Share Financing,479.6
2005-07,Consumer,Professional and Private Individuals - Others,27826.1
2005-08,Business,"Agriculture, Mining and Quarrying",2416.8
2005-08,Business,Manufacturing,31989.1
2005-08,Business,Building and Construction,30109.9
2005-08,Business,General Commerce,35432
2005-08,Business,"Transport, Storage and Communication",25763.8
2005-08,Business,Business Services,4443.2
2005-08,Business,Financial Institutions,65835.2
2005-08,Business,Professional and Private Individuals - Business Purposes,4756.4
2005-08,Business,Others,20791.4
2005-08,Consumer,Housing and Bridging Loans,62595.1
2005-08,Consumer,Professional and Private Individuals - Car Loans,12619.7
2005-08,Consumer,Professional and Private Individuals - Credit Cards,3428.6
