year,sex,level_of_school,academic_qualification,number_of_vice_principals
1996,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,157
1996,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,87
1996,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,3
1996,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
1996,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1996,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1996,MF,PRIMARY,PASS DEGREE,2
1996,F,PRIMARY,PASS DEGREE,0
1996,MF,SECONDARY,PASS DEGREE,41
1996,F,SECONDARY,PASS DEGREE,27
1996,MF,PRE-UNIVERSITY,PASS DEGREE,1
1996,F,PRE-UNIVERSITY,PASS DEGREE,1
1996,MF,PRIMARY,HONOURS DEGREE,1
1996,F,PRIMARY,HONOURS DEGREE,1
1996,MF,SECONDARY,HONOURS DEGREE,28
1996,F,SECONDARY,HONOURS DEGREE,15
1996,MF,PRE-UNIVERSITY,HONOURS DEGREE,7
1996,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1996,MF,PRIMARY,MASTERS DEGREE,1
1996,F,PRIMARY,MASTERS DEGREE,0
1996,MF,SECONDARY,MASTERS DEGREE,23
1996,F,SECONDARY,MASTERS DEGREE,16
1996,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1996,F,PRE-UNIVERSITY,MASTERS DEGREE,2
1996,MF,PRIMARY,PHD,0
1996,F,PRIMARY,PHD,0
1996,MF,SECONDARY,PHD,0
1996,F,SECONDARY,PHD,0
1996,MF,PRE-UNIVERSITY,PHD,0
1996,F,PRE-UNIVERSITY,PHD,0
1997,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,143
1997,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,86
1997,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,MF,PRIMARY,PASS DEGREE,3
1997,F,PRIMARY,PASS DEGREE,1
1997,MF,SECONDARY,PASS DEGREE,58
1997,F,SECONDARY,PASS DEGREE,36
1997,MF,PRE-UNIVERSITY,PASS DEGREE,2
1997,F,PRE-UNIVERSITY,PASS DEGREE,2
1997,MF,PRIMARY,HONOURS DEGREE,3
1997,F,PRIMARY,HONOURS DEGREE,2
1997,MF,SECONDARY,HONOURS DEGREE,34
1997,F,SECONDARY,HONOURS DEGREE,20
1997,MF,PRE-UNIVERSITY,HONOURS DEGREE,9
1997,F,PRE-UNIVERSITY,HONOURS DEGREE,7
1997,MF,PRIMARY,MASTERS DEGREE,3
1997,F,PRIMARY,MASTERS DEGREE,2
1997,MF,SECONDARY,MASTERS DEGREE,19
1997,F,SECONDARY,MASTERS DEGREE,12
1997,MF,PRE-UNIVERSITY,MASTERS DEGREE,2
1997,F,PRE-UNIVERSITY,MASTERS DEGREE,1
1997,MF,PRIMARY,PHD,0
1997,F,PRIMARY,PHD,0
1997,MF,SECONDARY,PHD,0
1997,F,SECONDARY,PHD,0
1997,MF,PRE-UNIVERSITY,PHD,0
1997,F,PRE-UNIVERSITY,PHD,0
1998,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,132
1998,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,81
1998,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,MF,PRIMARY,PASS DEGREE,8
1998,F,PRIMARY,PASS DEGREE,5
1998,MF,SECONDARY,PASS DEGREE,54
1998,F,SECONDARY,PASS DEGREE,37
1998,MF,PRE-UNIVERSITY,PASS DEGREE,3
1998,F,PRE-UNIVERSITY,PASS DEGREE,3
1998,MF,PRIMARY,HONOURS DEGREE,3
1998,F,PRIMARY,HONOURS DEGREE,2
1998,MF,SECONDARY,HONOURS DEGREE,42
1998,F,SECONDARY,HONOURS DEGREE,26
1998,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
1998,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1998,MF,PRIMARY,MASTERS DEGREE,1
1998,F,PRIMARY,MASTERS DEGREE,0
1998,MF,SECONDARY,MASTERS DEGREE,19
1998,F,SECONDARY,MASTERS DEGREE,13
1998,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1998,F,PRE-UNIVERSITY,MASTERS DEGREE,3
1998,MF,PRIMARY,PHD,0
1998,F,PRIMARY,PHD,0
1998,MF,SECONDARY,PHD,0
1998,F,SECONDARY,PHD,0
1998,MF,PRE-UNIVERSITY,PHD,0
1998,F,PRE-UNIVERSITY,PHD,0
1999,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,123
1999,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,78
1999,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,MF,PRIMARY,PASS DEGREE,23
1999,F,PRIMARY,PASS DEGREE,17
1999,MF,SECONDARY,PASS DEGREE,48
1999,F,SECONDARY,PASS DEGREE,34
1999,MF,PRE-UNIVERSITY,PASS DEGREE,2
1999,F,PRE-UNIVERSITY,PASS DEGREE,2
1999,MF,PRIMARY,HONOURS DEGREE,8
1999,F,PRIMARY,HONOURS DEGREE,8
1999,MF,SECONDARY,HONOURS DEGREE,39
1999,F,SECONDARY,HONOURS DEGREE,27
1999,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
1999,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1999,MF,PRIMARY,MASTERS DEGREE,9
1999,F,PRIMARY,MASTERS DEGREE,8
1999,MF,SECONDARY,MASTERS DEGREE,21
1999,F,SECONDARY,MASTERS DEGREE,14
1999,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1999,F,PRE-UNIVERSITY,MASTERS DEGREE,2
1999,MF,PRIMARY,PHD,0
1999,F,PRIMARY,PHD,0
1999,MF,SECONDARY,PHD,0
1999,F,SECONDARY,PHD,0
1999,MF,PRE-UNIVERSITY,PHD,0
1999,F,PRE-UNIVERSITY,PHD,0
2000,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,104
2000,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,67
2000,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2000,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2000,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
