year,sex,level_of_school,age,no_of_vice_principals
1996,MF,PRIMARY,30 - 34,3
1996,F,PRIMARY,30 - 34,3
1996,MF,SECONDARY,30 - 34,6
1996,F,SECONDARY,30 - 34,3
1996,MF,PRE-UNIVERSITY,30 - 34,0
1996,F,PRE-UNIVERSITY,30 - 34,0
1996,MF,PRIMARY,35 - 39,10
1996,F,PRIMARY,35 - 39,3
1996,MF,SECONDARY,35 - 39,21
1996,F,SECONDARY,35 - 39,14
1996,MF,PRE-UNIVERSITY,35 - 39,1
1996,F,PRE-UNIVERSITY,35 - 39,1
1996,MF,PRIMARY,40 - 44,12
1996,F,PRIMARY,40 - 44,9
1996,MF,SECONDARY,40 - 44,18
1996,F,SECONDARY,40 - 44,9
1996,MF,PRE-UNIVERSITY,40 - 44,2
1996,F,PRE-UNIVERSITY,40 - 44,2
1996,MF,PRIMARY,45 - 49,71
1996,F,PRIMARY,45 - 49,46
1996,MF,SECONDARY,45 - 49,24
1996,F,SECONDARY,45 - 49,18
1996,MF,PRE-UNIVERSITY,45 - 49,2
1996,F,PRE-UNIVERSITY,45 - 49,1
1996,MF,PRIMARY,50 - 54,48
1996,F,PRIMARY,50 - 54,22
1996,MF,SECONDARY,50 - 54,21
1996,F,SECONDARY,50 - 54,14
1996,MF,PRE-UNIVERSITY,50 - 54,6
1996,F,PRE-UNIVERSITY,50 - 54,5
1997,MF,PRIMARY,30 - 34,5
1997,F,PRIMARY,30 - 34,3
1997,MF,SECONDARY,30 - 34,9
1997,F,SECONDARY,30 - 34,6
1997,MF,PRE-UNIVERSITY,30 - 34,0
1997,F,PRE-UNIVERSITY,30 - 34,0
1997,MF,PRIMARY,35 - 39,14
1997,F,PRIMARY,35 - 39,8
1997,MF,SECONDARY,35 - 39,34
1997,F,SECONDARY,35 - 39,19
1997,MF,PRE-UNIVERSITY,35 - 39,4
1997,F,PRE-UNIVERSITY,35 - 39,2
1997,MF,PRIMARY,40 - 44,13
1997,F,PRIMARY,40 - 44,12
1997,MF,SECONDARY,40 - 44,24
1997,F,SECONDARY,40 - 44,15
1997,MF,PRE-UNIVERSITY,40 - 44,3
1997,F,PRE-UNIVERSITY,40 - 44,3
1997,MF,PRIMARY,45 - 49,50
1997,F,PRIMARY,45 - 49,36
1997,MF,SECONDARY,45 - 49,24
1997,F,SECONDARY,45 - 49,12
1997,MF,PRE-UNIVERSITY,45 - 49,3
1997,F,PRE-UNIVERSITY,45 - 49,3
1997,MF,PRIMARY,50 - 54,53
1997,F,PRIMARY,50 - 54,28
1997,MF,SECONDARY,50 - 54,15
1997,F,SECONDARY,50 - 54,13
1997,MF,PRE-UNIVERSITY,50 - 54,2
1997,F,PRE-UNIVERSITY,50 - 54,2
1998,MF,PRIMARY,30 - 34,2
1998,F,PRIMARY,30 - 34,1
1998,MF,SECONDARY,30 - 34,2
1998,F,SECONDARY,30 - 34,2
1998,MF,PRE-UNIVERSITY,30 - 34,1
1998,F,PRE-UNIVERSITY,30 - 34,1
1998,MF,PRIMARY,35 - 39,21
1998,F,PRIMARY,35 - 39,12
1998,MF,SECONDARY,35 - 39,42
1998,F,SECONDARY,35 - 39,25
1998,MF,PRE-UNIVERSITY,35 - 39,3
1998,F,PRE-UNIVERSITY,35 - 39,2
1998,MF,PRIMARY,40 - 44,19
1998,F,PRIMARY,40 - 44,14
1998,MF,SECONDARY,40 - 44,25
1998,F,SECONDARY,40 - 44,18
1998,MF,PRE-UNIVERSITY,40 - 44,3
1998,F,PRE-UNIVERSITY,40 - 44,3
1998,MF,PRIMARY,45 - 49,27
1998,F,PRIMARY,45 - 49,19
1998,MF,SECONDARY,45 - 49,22
1998,F,SECONDARY,45 - 49,12
1998,MF,PRE-UNIVERSITY,45 - 49,4
1998,F,PRE-UNIVERSITY,45 - 49,4
1998,MF,PRIMARY,50 - 54,59
1998,F,PRIMARY,50 - 54,36
1998,MF,SECONDARY,50 - 54,18
1998,F,SECONDARY,50 - 54,15
1998,MF,PRE-UNIVERSITY,50 - 54,0
1998,F,PRE-UNIVERSITY,50 - 54,0
1999,MF,PRIMARY,30 - 34,3
1999,F,PRIMARY,30 - 34,3
1999,MF,SECONDARY,30 - 34,5
1999,F,SECONDARY,30 - 34,3
1999,MF,PRE-UNIVERSITY,30 - 34,0
1999,F,PRE-UNIVERSITY,30 - 34,0
1999,MF,PRIMARY,35 - 39,29
1999,F,PRIMARY,35 - 39,22
1999,MF,SECONDARY,35 - 39,22
1999,F,SECONDARY,35 - 39,18
1999,MF,PRE-UNIVERSITY,35 - 39,1
1999,F,PRE-UNIVERSITY,35 - 39,1
1999,MF,PRIMARY,40 - 44,32
1999,F,PRIMARY,40 - 44,21
1999,MF,SECONDARY,40 - 44,35
1999,F,SECONDARY,40 - 44,23
1999,MF,PRE-UNIVERSITY,40 - 44,6
1999,F,PRE-UNIVERSITY,40 - 44,4
1999,MF,PRIMARY,45 - 49,21
1999,F,PRIMARY,45 - 49,16
1999,MF,SECONDARY,45 - 49,24
1999,F,SECONDARY,45 - 49,16
1999,MF,PRE-UNIVERSITY,45 - 49,3
1999,F,PRE-UNIVERSITY,45 - 49,3
1999,MF,PRIMARY,50 - 54,63
1999,F,PRIMARY,50 - 54,40
1999,MF,SECONDARY,50 - 54,16
1999,F,SECONDARY,50 - 54,11
1999,MF,PRE-UNIVERSITY,50 - 54,0
1999,F,PRE-UNIVERSITY,50 - 54,0
2000,MF,PRIMARY,30 - 34,6
2000,F,PRIMARY,30 - 34,3
2000,MF,SECONDARY,30 - 34,13
2000,F,SECONDARY,30 - 34,9
2000,MF,PRE-UNIVERSITY,30 - 34,2
2000,F,PRE-UNIVERSITY,30 - 34,1
2000,MF,PRIMARY,35 - 39,29
2000,F,PRIMARY,35 - 39,24
2000,MF,SECONDARY,35 - 39,31
2000,F,SECONDARY,35 - 39,22
2000,MF,PRE-UNIVERSITY,35 - 39,3
2000,F,PRE-UNIVERSITY,35 - 39,2
2000,MF,PRIMARY,40 - 44,38
2000,F,PRIMARY,40 - 44,25
2000,MF,SECONDARY,40 - 44,37
2000,F,SECONDARY,40 - 44,25
2000,MF,PRE-UNIVERSITY,40 - 44,5
2000,F,PRE-UNIVERSITY,40 - 44,3
2000,MF,PRIMARY,45 - 49,14
2000,F,PRIMARY,45 - 49,12
2000,MF,SECONDARY,45 - 49,25
2000,F,SECONDARY,45 - 49,17
2000,MF,PRE-UNIVERSITY,45 - 49,2
2000,F,PRE-UNIVERSITY,45 - 49,2
2000,MF,PRIMARY,50 - 54,56
2000,F,PRIMARY,50 - 54,39
2000,MF,SECONDARY,50 - 54,24
2000,F,SECONDARY,50 - 54,15
