year,sex,level_of_school,length_of_service,no_of_vice_principals
1996,MF,PRIMARY,0 - 9 YEARS,1
1996,F,PRIMARY,0 - 9 YEARS,0
1996,MF,SECONDARY,0 - 9 YEARS,6
1996,F,SECONDARY,0 - 9 YEARS,2
1996,MF,PRE-UNIVERSITY,0 - 9 YEARS,0
1996,F,PRE-UNIVERSITY,0 - 9 YEARS,0
1996,MF,PRIMARY,10 - 14 YEARS,5
1996,F,PRIMARY,10 - 14 YEARS,2
1996,MF,SECONDARY,10 - 14 YEARS,21
1996,F,SECONDARY,10 - 14 YEARS,12
1996,MF,PRE-UNIVERSITY,10 - 14 YEARS,1
1996,F,PRE-UNIVERSITY,10 - 14 YEARS,1
1996,MF,PRIMARY,15 - 19 YEARS,11
1996,F,PRIMARY,15 - 19 YEARS,7
1996,MF,SECONDARY,15 - 19 YEARS,20
1996,F,SECONDARY,15 - 19 YEARS,14
1996,MF,PRE-UNIVERSITY,15 - 19 YEARS,3
1996,F,PRE-UNIVERSITY,15 - 19 YEARS,3
1996,MF,PRIMARY,20 - 24 YEARS,10
1996,F,PRIMARY,20 - 24 YEARS,8
1996,MF,SECONDARY,20 - 24 YEARS,14
1996,F,SECONDARY,20 - 24 YEARS,9
1996,MF,PRE-UNIVERSITY,20 - 24 YEARS,0
1996,F,PRE-UNIVERSITY,20 - 24 YEARS,0
1996,MF,PRIMARY,25 - 29 YEARS,41
1996,F,PRIMARY,25 - 29 YEARS,23
1996,MF,SECONDARY,25 - 29 YEARS,23
1996,F,SECONDARY,25 - 29 YEARS,20
1996,MF,PRE-UNIVERSITY,25 - 29 YEARS,5
1996,F,PRE-UNIVERSITY,25 - 29 YEARS,3
1996,MF,PRIMARY,30 YEARS & ABOVE,93
1996,F,PRIMARY,30 YEARS & ABOVE,48
1996,MF,SECONDARY,30 YEARS & ABOVE,11
1996,F,SECONDARY,30 YEARS & ABOVE,3
1996,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
1996,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
1997,MF,PRIMARY,0 - 9 YEARS,2
1997,F,PRIMARY,0 - 9 YEARS,0
1997,MF,SECONDARY,0 - 9 YEARS,12
